RMS,MAV,WL,target
547.1247500728389,547.0736145574855,1396.0,mesaio
551.0831848207899,550.1736972704715,2288.0,mesaio
549.8250330764494,549.7952853598015,1146.0,mesaio
551.2953071770767,551.2452440033085,1347.0,mesaio
548.763087289841,548.6720430107526,1621.0,mesaio
548.9474291618983,548.7406947890819,2053.0,mesaio
549.1612075197041,549.1062861869314,1392.0,mesaio
549.1567225051715,549.1315136476427,1234.0,mesaio
550.2660951160295,550.2435897435897,1127.0,mesaio
547.6449632653522,547.6038047973532,1288.0,mesaio
552.6028473939406,552.525641025641,1452.0,mesaio
550.43376608993,550.3614557485525,1556.0,mesaio
551.8167161042179,551.6418527708851,1854.0,mesaio
550.2930473531903,550.182382133995,1471.0,mesaio
552.0304819654654,551.5479735318445,2572.0,mesaio
552.040429361199,551.8531844499587,1769.0,mesaio
546.3558168996186,546.0210918114144,2319.0,mesaio
550.4835489977168,550.2593052109181,2176.0,mesaio
554.078067197407,553.9561621174524,1648.0,mesaio
551.8126690017205,551.5715467328371,1958.0,mesaio
546.0081136897636,545.8072787427626,1815.0,mesaio
683.441050841392,652.1695616211746,15555.0,mesaio
810.5488161577252,787.4172870140612,18929.0,mesaio
750.2366271327204,687.4722911497105,43757.0,mesaio
660.5619947312854,595.0206782464847,31134.0,mesaio
557.1377988269332,557.0049627791564,1879.0,mesaio
549.211034994264,549.0529363110008,2193.0,mesaio
546.4801835238717,546.3800661703888,2056.0,mesaio
545.0365973704136,544.7204301075269,2289.0,mesaio
550.7947517549474,550.6484698097602,1964.0,mesaio
548.2058200845048,548.055417700579,2156.0,mesaio
548.8861211083856,548.7241521918942,2174.0,mesaio
549.7665972159386,549.5562448304383,2247.0,mesaio
549.4260182636772,549.3076923076923,2071.0,mesaio
549.1327706798912,548.9909015715467,2002.0,mesaio
549.5041749578546,549.37841191067,2037.0,mesaio
549.2348395865974,549.0760959470637,2185.0,mesaio
549.7707455130744,549.5789909015715,2191.0,mesaio
550.3945374143443,550.2105045492142,2337.0,mesaio
548.277787870008,548.1240694789082,2205.0,mesaio
547.9703379884138,547.6683209263855,2392.0,mesaio
551.0502649858204,550.9263854425145,2101.0,mesaio
550.9358644309648,550.7948717948718,2229.0,mesaio
551.6688220729098,551.3883374689826,2591.0,mesaio
550.2555459416441,550.0822994210091,2250.0,mesaio
549.2875877093709,549.1344086021505,2306.0,mesaio
549.7816518985223,549.5843672456575,2317.0,mesaio
550.311222195023,550.1211745244003,2344.0,mesaio
546.9843621833427,546.7841191066998,2275.0,mesaio
550.5249652706675,550.1294458229942,2786.0,mesaio
549.4401075292798,549.0926385442515,2869.0,mesaio
549.1536107247616,549.0041356492969,2304.0,mesaio
550.6411624881514,550.4185277088503,2671.0,mesaio
547.1003029810155,546.9325889164598,2187.0,mesaio
548.990594518832,548.6555004135649,2692.0,mesaio
551.1309006436984,550.9578163771712,2395.0,mesaio
549.5681344552304,549.4023986765923,2190.0,mesaio
550.3201966660508,550.13523573201,2525.0,mesaio
550.8750186629735,550.5922249793217,2493.0,mesaio
550.7133361922968,550.5028949545078,2714.0,mesaio
549.813479915183,549.6526054590571,2380.0,mesaio
550.3365956270329,550.1881720430108,2375.0,mesaio
549.0338363275882,548.651364764268,2518.0,mesaio
549.4916930773016,549.3854425144748,2273.0,mesaio
550.0333146538626,549.625723738627,2689.0,mesaio
